Target,Mail
ham,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'im', 'weak', 'sucker', 'hospital', 'weak', 'sucker']"
ham,"['thinked', 'first', 'time', 'saw', 'class']"
ham,"['gram', 'usually', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']"
ham,"['k', 'fyi', 'x', 'ha', 'ride', 'early', 'tomorrow', 'morning', 'crashing', 'place', 'tonight']"
ham,"['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'wa', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'im', 'sorry', 'didnt', 'dont', 'give', 'im', 'sorry', 'offered', 'im', 'sorry', 'room', 'wa', 'embarassing']"
spam,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']"
ham,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']"
spam,"['congrats', 'year', 'special', 'cinema', 'pas', 'call', 'c', 'suprman', 'v', 'matrix', 'starwars', 'etc', 'free', 'bxipwe', 'pm', 'dont', 'miss']"
ham,"['sorry', 'ill', 'call', 'later', 'meeting']"
ham,"['tell', 'reached']"
ham,"['yesgauti', 'sehwag', 'odi', 'series']"
ham,"['gonna', 'pick', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'killing']"
ham,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situation', 'seeker']"
ham,"['part', 'checking', 'iq']"
ham,"['sorry', 'roommate', 'took', 'forever', 'ok', 'come']"
ham,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
spam,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'bonus', 'prize', 'call']"
ham,"['today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']"
spam,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry', 'claim', 'txt', 'dis', 'morefrmmob', 'shracomorsglsuplt', 'l', 'aj']"
spam,"['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff']"
ham,"['plane', 'give', 'month', 'end']"
ham,"['wah', 'lucky', 'man', 'save', 'money', 'hee']"
ham,"['finished', 'class']"
ham,"['hi', 'babe', 'im', 'home', 'wanna', 'something', 'xx']"
ham,"['kkwhere', 'youhow', 'performed']"
ham,"['u', 'call']"
ham,"['waiting', 'machan', 'call', 'free']"
ham,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
ham,"['like', 'people', 'much', 'shy', 'pa']"
ham,"['doe', 'operate', 'ltgt']"
ham,"['still', 'looking', 'job', 'much', 'ta', 'earn']"
ham,"['sorry', 'ill', 'call', 'later']"
ham,"['k', 'call', 'ah']"
ham,"['ok', 'way', 'home', 'hi', 'hi']"
ham,"['place', 'man']"
ham,"['yup', 'next', 'stop']"
ham,"['call', 'later', 'dont', 'network', 'urgnt', 'sm']"
ham,"['real', 'u', 'getting', 'yo', 'need', 'ticket', 'one', 'jacket', 'im', 'done', 'already', 'used', 'multis']"
ham,"['yes', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'double', 'coin', 'factory', 'gotta', 'cash', 'nitros']"
ham,"['im', 'really', 'still', 'tonight', 'babe']"
ham,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']"
ham,"['yeah', 'dont', 'stand', 'close', 'tho', 'youll', 'catch', 'something']"
ham,"['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'mean', 'havent', 'done', 'stuffmoro', 'includes', 'time', 'sheet', 'sorry']"
ham,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum', 'hurt', 'u', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'u', 'smiling']"
spam,"['please', 'call', 'customer', 'service', 'representative', 'ampm', 'guaranteed', 'cash', 'prize']"
ham,"['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'already']"
spam,"['free', 'ringtone', 'waiting', 'collected', 'simply', 'text', 'password', 'mix', 'verify', 'get', 'usher', 'britney', 'fml']"
ham,"['watching', 'telugu', 'moviewat', 'abt', 'u']"
ham,"['see', 'finish', 'load', 'loan', 'pay']"
ham,"['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdresser', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'doe', 'cause', 'prob', 'u', 'ham']"
ham,"['please', 'dont', 'text', 'anymore', 'nothing', 'else', 'say']"
ham,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'xx']"
ham,"['im', 'still', 'looking', 'car', 'buy', 'gone', 'driving', 'test', 'yet']"
ham,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'ha', 'set', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']"
ham,"['wow', 'youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'say', 'boston']"
ham,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']"
ham,"['thanks', 'lot', 'wish', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable']"
ham,"['aight', 'ill', 'hit', 'get', 'cash']"
ham,"['would', 'ip', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server']"
ham,"['know', 'grumpy', 'old', 'people', 'mom', 'wa', 'like', 'better', 'lying', 'always', 'one', 'play', 'joke']"
ham,"['dont', 'worry', 'guess', 'busy']"
ham,"['plural', 'noun', 'research']"
ham,"['going', 'dinnermsg']"
ham,"['im', 'ok', 'wif', 'co', 'like', 'try', 'new', 'thing', 'scared', 'u', 'dun', 'like', 'mah', 'co', 'u', 'said', 'loud']"
spam,"['gent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', 'prize', 'guaranteed', 'call', 'claim', 'code', 'k', 'valid', 'hr', 'ppm']"
ham,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happened']"
ham,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'bos', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went']"
spam,"['winner', 'u', 'specially', 'selected', 'receive', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', 'claim', 'pmin']"
ham,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed']"
ham,"['hmmmy', 'uncle', 'informed', 'paying', 'school', 'directly', 'pls', 'buy', 'food']"
spam,"['private', 'account', 'statement', 'show', 'unredeemed', 'bonus', 'point', 'claim', 'call', 'identifier', 'code', 'expires']"
spam,"['urgent', 'mobile', 'wa', 'awarded', 'bonus', 'caller', 'prize', 'final', 'try', 'contact', 'u', 'call', 'landline', 'boxwrc', 'ppm']"
ham,"['new', 'address', 'applespairsall', 'malarky']"
spam,"['today', 'voda', 'number', 'ending', 'selected', 'receive', 'award', 'match', 'please', 'call', 'quoting', 'claim', 'code', 'standard', 'rate', 'app']"
ham,"['going', 'sao', 'mu', 'today', 'done']"
ham,"['predict', 'wat', 'time', 'finish', 'buying']"
ham,"['good', 'stuff']"
ham,"['knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'dont', 'involve', 'anything', 'shouldnt', 'imposed', 'anything', 'first', 'place', 'apologise']"
ham,['room']
ham,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']"
ham,"['kkhow', 'much', 'doe', 'cost']"
ham,"['im', 'home']"
ham,"['dear', 'call', 'tmorrowpls', 'accomodate']"
ham,"['first', 'answer', 'question']"
spam,"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', 'sptyrone']"
spam,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'location', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', 'largest', 'dogging', 'network', 'bt', 'txting', 'gravel', 'nt', 'eca', 'pmsgp']"
ham,"['haf', 'msn', 'yijuehotmailcom']"
ham,"['call', 'meet']"
ham,"['check', 'room', 'befor', 'activity']"
spam,"['youll', 'rcv', 'msg', 'chat', 'svc', 'free', 'hardcore', 'service', 'text', 'go', 'u', 'get', 'nothing', 'u', 'must', 'age', 'verify', 'yr', 'network', 'try']"
ham,"['got', 'c', 'lazy', 'type', 'forgot', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']"
ham,"['k', 'text', 'youre', 'way']"
ham,"['sir', 'waiting', 'mail']"
ham,"['swt', 'thought', 'nver', 'get', 'tired', 'little', 'thing', 'lovable', 'person', 'cozsomtimes', 'little', 'thing', 'occupy', 'biggest', 'part', 'heart', 'gud', 'ni']"
ham,"['know', 'pls', 'open', 'back']"
ham,"['yes', 'see', 'ya', 'dot']"
ham,"['whats', 'staff', 'name', 'taking', 'class', 'u']"
spam,"['freemsg', 'havent', 'replied', 'text', 'im', 'randy', 'sexy', 'female', 'live', 'local', 'luv', 'hear', 'u', 'netcollex', 'ltd', 'p', 'per', 'msg', 'reply', 'stop', 'end']"
ham,"['ummmawill', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard']"
ham,"['ki', 'deleted', 'contact']"
ham,"['sindu', 'got', 'job', 'birla', 'soft']"
ham,"['wine', 'flowing', 'im', 'nevering']"
ham,"['yup', 'thk', 'cine', 'better', 'co', 'need', 'go', 'plaza', 'mah']"
ham,"['ok', 'ur', 'typical', 'reply']"
ham,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'ha', 'set', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']"
ham,"['everywhere', 'dirt', 'floor', 'window', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'come', 'flowing', 'dream', 'world', 'without', 'half', 'chore', 'time', 'joy', 'lot', 'tv', 'show', 'ill', 'see', 'guess', 'like', 'thing', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'become', 'one']"
ham,"['aaooooright', 'work']"
ham,"['im', 'leaving', 'house']"
ham,"['hello', 'love', 'get', 'interview', 'today', 'happy', 'good', 'boy', 'think', 'meare', 'missing']"
spam,"['customer', 'service', 'annoncement', 'new', 'year', 'delivery', 'waiting', 'please', 'call', 'arrange', 'delivery']"
spam,"['winner', 'u', 'specially', 'selected', 'receive', 'cash', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', 'claim']"
ham,"['keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'see', 'real', 'life']"
ham,"['new', 'car', 'house', 'parentsi', 'new', 'job', 'hand']"
ham,"['im', 'love', 'im', 'excited', 'day', 'spend', 'make', 'happy']"
spam,"['pls', 'stop', 'bootydelious', 'f', 'inviting', 'friend', 'reply', 'yes', 'see', 'wwwsmsacubootydelious', 'stop', 'send', 'stop', 'frnd']"
spam,"['bangbabes', 'ur', 'order', 'way', 'u', 'receive', 'service', 'msg', 'download', 'ur', 'content', 'u', 'goto', 'wap', 'bangb', 'tv', 'ur', 'mobile', 'internetservice', 'menu']"
ham,"['place', 'ur', 'point', 'e', 'culture', 'module', 'already']"
spam,"['urgent', 'trying', 'contact', 'last', 'weekend', 'draw', 'show', 'prize', 'guaranteed', 'call', 'claim', 'code', 'valid', 'hr']"
ham,"['hi', 'frnd', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'one']"
ham,"['great', 'escape', 'fancy', 'bridge', 'need', 'lager', 'see', 'tomo']"
ham,"['yes', 'completely', 'formclark', 'also', 'utter', 'waste']"
ham,"['sir', 'need', 'axis', 'bank', 'account', 'bank', 'address']"
ham,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', 'free', 'abt', 'muz', 'call', 'u', 'discus', 'liao']"
ham,"['time', 'coming', 'later']"
ham,"['bloody', 'hell', 'cant', 'believe', 'forgot', 'surname', 'mr', 'ill', 'give', 'u', 'clue', 'spanish', 'begin']"
ham,"['well', 'im', 'gonna', 'finish', 'bath', 'goodfine', 'night']"
ham,"['let', 'know', 'youve', 'got', 'money', 'carlos', 'make', 'call']"
ham,"['u', 'still', 'going', 'mall']"
ham,"['turn', 'friend', 'staying', 'whole', 'show', 'wont', 'back', 'til', 'ltgt', 'feel', 'free', 'go', 'ahead', 'smoke', 'ltgt', 'worth']"
ham,"['text', 'doesnt', 'reply', 'let', 'know', 'log']"
ham,"['hi', 'spoke', 'maneesha', 'v', 'wed', 'like', 'know', 'satisfied', 'experience', 'reply', 'toll', 'free', 'yes']"
ham,"['lifted', 'hope', 'offer', 'money', 'need', 'especially', 'end', 'month', 'approach', 'hurt', 'studying', 'anyways', 'gr', 'weekend']"
ham,"['lol', 'u', 'trust']"
ham,"['ok', 'gentleman', 'treat', 'dignity', 'respect']"
ham,"['guy', 'close']"
ham,"['going', 'nothing', 'greatbye']"
ham,"['hello', 'handsome', 'finding', 'job', 'lazy', 'working', 'towards', 'getting', 'back', 'net', 'mummy', 'wheres', 'boytoy', 'doe', 'miss']"
ham,"['haha', 'awesome', 'minute']"
spam,"['please', 'call', 'customer', 'service', 'representative', 'freephone', 'ampm', 'guaranteed', 'cash', 'prize']"
ham,"['got', 'xmas', 'radio', 'time', 'get']"
ham,"['jus', 'reached', 'home', 'go', 'bathe', 'first', 'si', 'using', 'net', 'tell', 'u', 'finish', 'k']"
spam,"['unique', 'enough', 'find', 'th', 'august', 'wwwareyouuniquecouk']"
ham,"['im', 'sorry', 'ive', 'joined', 'league', 'people', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'time', 'even', 'great', 'personal', 'cost', 'great', 'week']"
ham,"['hi', 'finally', 'completed', 'course']"
ham,"['stop', 'however', 'suggest', 'stay', 'someone', 'able', 'give', 'every', 'stool']"
ham,"['hope', 'youve', 'settled', 'new', 'school', 'year', 'wishin', 'gr', 'day']"
ham,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']"
ham,"['u', 'got', 'person', 'story']"
ham,"['hamster', 'dead', 'hey', 'tmr', 'meet', 'pm', 'orchard', 'mrt']"
ham,"['hi', 'kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', 'txt', 'back', 'u', 'xxx']"
ham,"['found', 'enc', 'ltgt']"
ham,"['sent', 'ltgt', 'buck']"
ham,"['hello', 'darlin', 'ive', 'finished', 'college', 'txt', 'u', 'finish', 'u', 'love', 'kate', 'xxx']"
ham,"['account', 'ha', 'refilled', 'successfully', 'inr', 'ltdecimalgt', 'keralacircle', 'prepaid', 'account', 'balance', 'r', 'ltdecimalgt', 'transaction', 'id', 'kr', 'ltgt']"
ham,"['goodmorning', 'sleeping', 'ga']"
ham,"['u', 'call', 'alter', 'ok']"
ham,"['say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'cannot', 'oredi', 'lar']"
ham,"['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'bos', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went']"
ham,"['aight', 'yo', 'dat', 'straight', 'dogg']"
ham,"['please', 'give', 'u', 'connection', 'today', 'ltdecimalgt', 'refund', 'bill']"
ham,"['shoot', 'big', 'load', 'get', 'ready']"
ham,"['whats', 'bruv', 'hope', 'great', 'break', 'rewarding', 'semester']"
ham,"['home', 'always', 'chat']"
ham,"['kkgoodstudy', 'well']"
ham,"['yup', 'noe', 'leh']"
ham,"['sound', 'great', 'home']"
ham,"['finally', 'match', 'heading', 'towards', 'draw', 'prediction']"
ham,"['tired', 'havent', 'slept', 'well', 'past', 'night']"
ham,"['easy', 'ahsen', 'got', 'selected', 'mean', 'good']"
ham,"['take', 'exam', 'march']"
ham,"['yeah', 'think', 'use', 'gt', 'atm', 'register', 'sure', 'anyway', 'help', 'let', 'know', 'sure', 'ready']"
ham,"['ok', 'prob', 'take', 'ur', 'time']"
ham,"['called', 'ubandu', 'run', 'without', 'installing', 'hard', 'diskyou', 'use', 'copy', 'important', 'file', 'system', 'give', 'repair', 'shop']"
ham,"['sorry', 'ill', 'call', 'later']"
ham,"['u', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']"
spam,"['new', 'mobile', 'must', 'go', 'txt', 'nokia', 'collect', 'todayfrom', 'wwwtcbiz', 'optout', 'gbpmtmsg']"
ham,"['would', 'really', 'appreciate', 'call', 'need', 'someone', 'talk']"
spam,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', 'flyng', 'start', 'find', 'free', 'txt', 'horo', 'followed', 'ur', 'star', 'sign', 'e', 'g', 'horo', 'aries']"
ham,"['hey', 'company', 'elama', 'po', 'mudyadhu']"
ham,"['life', 'strict', 'teacher', 'bcoz', 'teacher', 'teach', 'lesson', 'amp', 'conduct', 'exam', 'life', 'first', 'conduct', 'exam', 'amp', 'teach', 'lesson', 'happy', 'morning']"
ham,"['dear', 'good', 'morning']"
ham,"['get', 'gandhipuram', 'walk', 'cross', 'cut', 'road', 'right', 'side', 'ltgt', 'street', 'road', 'turn', 'first', 'right']"
ham,"['dear', 'going', 'rubber', 'place']"
ham,"['sorry', 'battery', 'died', 'yeah', 'im']"
ham,"['yeshere', 'tv', 'always', 'available', 'work', 'place']"
spam,"['text', 'meet', 'someone', 'sexy', 'today', 'u', 'find', 'date', 'even', 'flirt', 'u', 'join', 'p', 'reply', 'name', 'age', 'eg', 'sam', 'msg', 'recdthirtyeight', 'penny']"
ham,"['printed', 'oh', 'ltgt', 'come', 'upstairs']"
ham,"['ill', 'little', 'closer', 'like', 'bus', 'stop', 'street']"
ham,"['youwhen', 'wil', 'reach']"
ham,"['new', 'theory', 'argument', 'win', 'situation', 'loses', 'person', 'dont', 'argue', 'ur', 'friend', 'kick', 'amp', 'say', 'im', 'always', 'correct']"
spam,"['u', 'secret', 'admirer', 'looking', 'make', 'contact', 'ufind', 'rreveal', 'think', 'ur', 'specialcall']"
ham,"['tomarrow', 'final', 'hearing', 'laptop', 'case', 'cant']"
ham,"['pleassssssseeeeee', 'tel', 'v', 'avent', 'done', 'sportsx']"
ham,"['okay', 'shining', 'wa', 'meant', 'signing', 'sound', 'better']"
ham,"['although', 'told', 'u', 'dat', 'im', 'baig', 'face', 'watch', 'really', 'like', 'e', 'watch', 'u', 'gave', 'co', 'fr', 'u', 'thanx', 'everything', 'dat', 'uve', 'done', 'today', 'im', 'touched']"
ham,"['u', 'dont', 'remember', 'old', 'commercial']"
ham,"['late', 'said', 'website', 'didnt', 'dont', 'slipper']"
ham,"['asked', 'call', 'ok']"
ham,"['kallis', 'wont', 'bat', 'nd', 'inning']"
ham,"['didnt', 'work', 'oh', 'ok', 'goodnight', 'ill', 'fix', 'ready', 'time', 'wake', 'dearly', 'missed', 'good', 'night', 'sleep']"
spam,"['congratulation', 'ur', 'awarded', 'cd', 'voucher', 'gift', 'guaranteed', 'free', 'entry', 'wkly', 'draw', 'txt', 'music', 'tncs', 'wwwldewcomwinppmxage']"
ham,"['ranjith', 'cal', 'drpd', 'deeraj', 'deepak', 'min', 'hold']"
ham,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
ham,['doinghow']
ham,"['ups', 'day', 'also', 'shipping', 'company', 'take', 'wks', 'way', 'usps', 'take', 'week', 'get', 'lag', 'may', 'bribe', 'nipost', 'get', 'stuff']"
ham,"['im', 'back', 'lemme', 'know', 'youre', 'ready']"
ham,"['dont', 'necessarily', 'expect', 'done', 'get', 'back', 'though', 'im', 'headin']"
ham,"['mmm', 'yummy', 'babe', 'nice', 'jolt', 'suzy']"
ham,"['lover', 'need']"
spam,"['tried', 'contact', 'reply', 'offer', 'video', 'handset', 'anytime', 'network', 'min', 'unlimited', 'text', 'camcorder', 'reply', 'call']"
ham,"['im', 'parked', 'next', 'mini', 'coming', 'today', 'think']"
ham,['yup']
ham,"['anyway', 'im', 'going', 'shopping', 'co', 'si', 'done', 'yet', 'dun', 'disturb', 'u', 'liao']"
ham,"['luton', 'ring', 'ur', 'around', 'h']"
spam,"['hey', 'really', 'horny', 'want', 'chat', 'see', 'naked', 'text', 'hot', 'text', 'charged', 'pm', 'unsubscribe', 'text', 'stop']"
ham,"['dint', 'come', 'u']"
ham,"['wana', 'plan', 'trip', 'sometme']"
ham,"['sure', 'yet', 'still', 'trying', 'get', 'hold']"
spam,"['ur', 'ringtone', 'service', 'ha', 'changed', 'free', 'credit', 'go', 'clubmobilescom', 'choose', 'content', 'stop', 'txt', 'club', 'stop', 'pwk', 'club', 'po', 'box', 'mk', 'wt']"
ham,"['evo', 'download', 'flash', 'jealous']"
spam,"['ringtone', 'club', 'get', 'uk', 'single', 'chart', 'mobile', 'week', 'choose', 'top', 'quality', 'ringtone', 'message', 'free', 'charge']"
ham,"['come', 'mu', 'sorting', 'narcotic', 'situation']"
ham,"['night', 'ha', 'ended', 'another', 'day', 'morning', 'ha', 'come', 'special', 'way', 'may', 'smile', 'like', 'sunny', 'ray', 'leaf', 'worry', 'blue', 'blue', 'bay']"
spam,"['hmv', 'bonus', 'special', 'pound', 'genuine', 'hmv', 'voucher', 'answer', 'easy', 'question', 'play', 'send', 'hmv', 'infowwwpercentrealcom']"
